City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Praia Da Vitoria,PT,38.73,-27.07,55.4,62,75,27.89,light intensity shower rain
297,Gat,IL,31.61,34.76,59.0,100,0,1.99,clear sky
298,Champerico,GT,14.3,-91.92,87.8,66,40,9.17,scattered clouds
299,Yenagoa,NG,4.92,6.26,76.96,89,0,3.44,clear sky
300,Anloga,GH,5.79,0.9,82.4,78,20,9.17,few clouds
301,Kalabo,ZM,-14.97,22.68,72.0,68,12,2.08,few clouds
302,Bendigo,AU,-36.77,144.28,64.99,55,1,4.0,clear sky
303,Broken Hill,AU,-31.95,141.43,71.6,56,18,24.16,few clouds
304,Meulaboh,ID,4.14,96.13,75.25,87,81,3.02,moderate rain
305,Derzhavinsk,KZ,51.1,66.32,14.16,96,93,11.18,overcast clouds
306,Khani,GE,41.96,42.96,53.6,40,0,25.28,clear sky
307,Waingapu,ID,-9.66,120.26,80.91,79,7,2.51,light rain
308,Mackenzie,CA,55.3,-123.17,14.0,92,90,5.82,overcast clouds
309,Bethel,US,41.37,-73.41,53.01,50,90,9.17,overcast clouds
310,Ponta Do Sol,PT,32.67,-17.1,60.8,55,40,13.87,scattered clouds
311,Poum,NC,-20.23,164.02,75.33,77,2,15.73,clear sky
312,Hostotipaquillo,MX,21.07,-104.07,81.0,40,40,3.22,scattered clouds
313,Shache,CN,38.42,77.24,19.11,90,0,0.43,clear sky
314,Beyneu,KZ,45.32,55.2,30.24,90,0,12.17,clear sky
315,Awjilah,LY,29.11,21.29,61.05,50,100,11.05,overcast clouds
316,Rio Gallegos,AR,-51.62,-69.22,53.6,22,75,36.91,broken clouds
317,Amot,NO,59.57,7.99,27.0,94,55,3.27,broken clouds
318,El Tigre,VE,8.89,-64.25,86.86,55,33,8.99,scattered clouds
319,Magistralnyy,RU,56.17,107.45,3.79,92,100,1.52,overcast clouds
320,Lawton,US,34.61,-98.39,44.6,65,90,10.29,overcast clouds
321,Katobu,ID,-4.94,122.53,76.91,90,100,3.69,light rain
322,Rozivka,UA,46.94,35.77,48.13,79,100,13.56,overcast clouds
323,Middlebury,US,44.02,-73.17,46.99,77,100,4.0,overcast clouds
324,Plastun,RU,44.76,136.29,10.6,88,0,5.64,clear sky
325,Padang,ID,-0.95,100.35,77.07,78,100,3.06,moderate rain
326,Klaeng,TH,12.78,101.65,77.0,93,100,10.0,overcast clouds
327,Canto Do Buriti,BR,-8.11,-42.94,88.39,43,100,8.34,overcast clouds
328,Lidkoping,SE,58.51,13.16,30.2,100,33,5.01,scattered clouds
329,Dvubratskiy,RU,45.24,39.8,42.01,93,0,6.71,clear sky
330,Barra Do Garcas,BR,-15.89,-52.26,98.6,35,40,9.17,scattered clouds
331,Tabuleiro Do Norte,BR,-5.25,-38.13,99.37,23,69,8.68,broken clouds
332,Nome,US,64.5,-165.41,23.0,73,90,9.17,overcast clouds
333,Nikolayevskaya,RU,47.61,41.5,40.39,92,100,9.17,overcast clouds
334,Wichita Falls,US,33.91,-98.49,46.4,75,40,6.93,moderate rain
335,Muravlenko,RU,63.79,74.52,-1.82,93,0,6.38,clear sky
336,Fengrun,CN,39.83,118.12,24.49,74,84,2.3,broken clouds
337,Riacho De Santana,BR,-13.61,-42.94,80.24,53,98,8.95,overcast clouds
338,Nanortalik,GL,60.14,-45.24,34.66,87,100,13.13,light snow
339,Brookhaven,US,31.58,-90.44,60.01,75,100,5.44,overcast clouds
340,San Juan,AR,-31.54,-68.54,90.99,23,7,9.4,clear sky
341,Egvekinot,RU,66.32,-179.17,9.37,92,56,12.53,broken clouds
342,Luyang,CN,27.62,110.1,36.3,90,42,0.85,scattered clouds
343,Marsa Matruh,EG,31.35,27.25,62.6,67,40,3.96,scattered clouds
344,Arman,RU,59.7,150.17,7.5,87,81,11.79,broken clouds
345,Bilma,NE,18.69,12.92,72.01,22,0,5.37,clear sky
346,Tiksi,RU,71.69,128.87,-1.84,91,43,9.19,scattered clouds
347,Clyde River,CA,70.47,-68.59,-5.8,83,75,17.22,light snow
348,Kaitangata,NZ,-46.28,169.85,55.0,69,81,17.0,broken clouds
349,Ancud,CL,-41.87,-73.82,57.99,58,0,9.17,clear sky
350,Haines Junction,CA,60.75,-137.51,23.0,92,100,1.12,light snow
351,Buta,CD,2.79,24.73,73.89,67,100,2.55,overcast clouds
352,Teya,RU,60.38,92.63,12.29,89,100,2.21,overcast clouds
353,Sur,OM,22.57,59.53,73.2,62,0,8.5,clear sky
354,Atambua,ID,-9.11,124.89,76.17,85,100,2.46,overcast clouds
355,Bairiki,KI,1.33,172.98,80.6,88,75,8.05,shower rain
356,Pocatello,US,42.87,-112.45,26.6,79,1,8.05,clear sky
357,Kuryk,KZ,43.2,51.65,40.73,64,0,22.39,clear sky
358,Ewa Beach,US,21.32,-158.01,75.2,73,1,3.36,clear sky
359,Aklavik,CA,68.22,-135.01,5.0,91,100,2.24,overcast clouds
360,Isangel,VU,-19.55,169.27,73.92,78,21,10.25,few clouds
361,Embu,BR,-23.65,-46.85,84.2,61,0,16.11,clear sky
362,Cherlak,RU,54.16,74.81,9.37,95,99,11.59,overcast clouds
