City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Paracuru,BR,82.0,overcast clouds,-3.41,-39.03,Hotel Vento Brasil
401,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
403,Conde,BR,86.0,few clouds,-7.26,-34.91,Pousada Beija Flor
404,Shrigonda,IN,72.3,overcast clouds,18.62,74.68,कानिफनाथ मंदिर
405,Sola,VU,79.38,light rain,-13.88,167.55,Ulkel Guest House
406,Sao Jose Da Coroa Grande,BR,80.24,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
409,Omboue,GA,76.26,overcast clouds,-1.57,9.26,Hotel Olako
413,Santarem,BR,89.6,few clouds,-2.44,-54.71,Hotel Imperador
422,Paciran,ID,78.19,overcast clouds,-6.88,112.38,Tanjung Kodok Beach Resort
423,Neuquen,AR,86.0,clear sky,-38.95,-68.06,Hotel del Comahue
425,Prabumulih,ID,72.9,moderate rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
428,Tabou,CI,79.7,clear sky,4.42,-7.35,hotêl doufoulougou
433,Olinda,BR,82.4,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
436,Salinopolis,BR,83.79,overcast clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
439,San Carlos,VE,77.16,overcast clouds,9.66,-68.58,Hotel Paternopoli
444,Popondetta,PG,72.66,scattered clouds,-8.75,148.25,Timos Transit House
445,Bathsheba,BB,84.2,scattered clouds,13.22,-59.52,Atlantis Hotel
